1,E,1001856,0.05,26,1
2,U,996046,0.05,26,1
3,E,804352,0.02,2,1
4,U,1000766,0.05,26,1
5,E,1049963,0.06,32,1
6,U,1025544,0.05,29,1
7,E,962302,0.04,21,1
8,U,945981,0.04,19,1
9,E,1096201,0.07,38,1
10,U,1141893,0.07,43,1
11,E,819716,0.02,4,1
12,U,940579,0.04,19,1
13,E,969990,0.04,22,1
14,U,837251,0.02,6,1
15,E,952525,0.04,20,1
16,U,855565,0.02,8,1
17,E,925978,0.04,17,1
18,U,1008054,0.05,27,1
19,E,1197022,0.08,50,1
20,U,1098016,0.07,38,1
21,E,1140640,0.07,43,1
22,U,842332,0.02,7,1
23,E,804349,0.02,2,1
24,U,874796,0.03,11,1
25,E,970757,0.04,22,1
26,U,901547,0.03,14,1
27,E,846987,0.02,7,1
28,U,922329,0.04,16,1
29,E,1070341,0.06,35,1
30,U,1013173,0.05,28,1
31,E,1110144,0.07,39,1
32,U,1062689,0.06,34,1
33,E,1107614,0.07,39,1
34,U,1091264,0.07,37,1
35,E,801656,0.02,2,1
36,U,1000039,0.05,26,1
37,E,1008057,0.05,27,1
38,U,868308,0.03,10,1
39,E,1085951,0.07,37,1
40,U,970134,0.04,22,1
41,E,1121677,0.07,41,1
42,U,801437,0.02,2,1
43,E,1089260,0.07,37,1
44,U,1094706,0.07,38,1
45,E,916193,0.04,16,1
46,U,1071188,0.06,35,1
47,E,1105615,0.07,39,1
48,U,829749,0.02,5,1
49,E,1102973,0.07,39,1
50,U,1139016,0.07,43,1
51,E,814987,0.02,3,1
52,U,1130155,0.07,42,1
53,E,1067034,0.06,34,1
54,U,850105,0.02,8,1
55,E,1001249,0.05,26,1
56,U,930295,0.04,17,1
57,E,820047,0.02,4,1
58,U,1125414,0.07,41,1
59,E,1126209,0.07,41,1
60,U,1113165,0.07,40,1
61,E,1088629,0.07,37,1
62,U,1184812,0.08,49,1
63,E,1026443,0.05,29,1
64,U,1199000,0.08,50,1
65,E,910073,0.03,15,1
66,U,821089,0.02,4,1
67,E,993139,0.05,25,1
68,U,992859,0.05,25,1
69,E,1093304,0.07,37,1
70,U,998744,0.05,26,1
71,E,935167,0.04,18,1
72,U,1142549,0.07,43,1
73,E,953050,0.04,20,1
74,U,850818,0.02,8,1
75,E,1102397,0.07,39,1
76,U,1129144,0.07,42,1
77,E,1035541,0.06,30,1
78,U,816976,0.02,4,1
79,E,848976,0.02,7,1
80,U,983158,0.05,24,1
81,E,1069101,0.06,34,1
82,U,1151548,0.08,45,1
83,E,1114850,0.07,40,1
84,U,824353,0.02,4,1
85,E,1171472,0.08,47,1
86,U,1021329,0.05,29,1
87,E,1170054,0.08,47,1
88,U,945251,0.04,19,1
89,E,928938,0.04,17,1
90,U,997965,0.05,26,1
91,E,839053,0.02,6,1
92,U,919077,0.04,16,1
93,E,1015321,0.05,28,1
94,U,919510,0.04,16,1
95,E,1082987,0.06,36,1
96,U,845609,0.02,7,1
97,E,1128781,0.07,42,1
98,U,836094,0.02,6,1
99,E,1176944,0.08,48,1
100,U,1132103,0.07,42,1
101,E,960207,0.04,21,1
102,U,1014286,0.05,28,1
103,E,943671,0.04,19,1
104,U,1140049,0.07,43,1
105,E,1156953,0.08,45,1
106,U,1074358,0.06,35,1
107,E,934972,0.04,18,1
108,U,877442,0.03,11,1
109,E,1155505,0.08,45,1
110,U,1047207,0.06,32,1
111,E,1078720,0.06,36,1
112,U,945503,0.04,19,1
113,E,999373,0.05,26,1
114,U,872031,0.03,10,1
115,E,1117422,0.07,40,1
116,U,1047357,0.06,32,1
117,E,1062189,0.06,34,1
